,year,title,genre,publisher,plataform,refs
0,1972,Pong,Sports,Atari,Arcade,13
1,1977,Zork,Adventure,Infocom,PDP-10,9
2,1978,Space Invaders,Shoot 'em up,Taito,Arcade,16
3,1979,Asteroids,Shoot 'em up,Atari,Arcade,12
4,1980,Adventure,Action-adventure,Atari,Atari 2600,7
5,1980,Missile Command,Shoot 'em up,Atari,Arcade,7
6,1980,Pac-Man,Maze,Namco,Arcade,15
7,1981,Defender,Shoot 'em up,Williams Entertainment,Arcade,10
8,1981,Donkey Kong,Platform,Nintendo,Arcade,18
9,1981,Galaga,Shoot 'em up,Namco,Arcade,12
10,1982,Joust,Action,Williams Entertainment,Arcade,6
11,1982,Ms. Pac-Man,Maze,Midway,Arcade,18
12,1982,Pitfall!,Platform,Activision,Atari 2600,11
13,1982,Robotron: 2084,Top-down shooter,Williams Entertainment,Arcade,8
14,1984,Elite,Space flight simulator,Acornsoft,BBC Micro,9
15,1984,Marble Madness,Action,Atari Games,Arcade,7
16,1984,Tetris,Puzzle,Elorg,Electronika 60,39
17,1985,Gauntlet,Action role-playing,Atari Games,Arcade,13
18,1985,Super Mario Bros.,Platform,Nintendo,NES,19
19,1986,Bubble Bobble,Platform,Taito,Arcade,7
20,1986,The Legend of Zelda,Action-adventure,Nintendo,NES,13
21,1986,Out Run,Racing,Sega,Arcade,7
22,1987,Contra,Run and gun,Konami,Arcade,12
23,1987,Double Dragon,Beat 'em up,Technos Japan,Arcade,11
24,1987,Mike Tyson's Punch-Out!!,Sports,Nintendo,NES,15
25,1987,R-Type,Shoot 'em up,Irem,Arcade,9
26,1988,Mega Man 2,Platform,Capcom,NES,19
27,1988,Super Mario Bros. 3,Platform,Nintendo,NES,25
28,1989,Prince of Persia,Platform,Broderbund,Apple II,9
29,1989,SimCity,City-building,Maxis,"Amiga, Macintosh",10
30,1990,The Secret of Monkey Island,Adventure,LucasArts,PC,13
31,1990,Super Mario World,Platform,Nintendo,Super NES,26
32,1991,Another World,Platform,Delphine Software,"Amiga, Atari ST",7
33,1991,Civilization,Turn-based strategy,MicroProse,PC,9
34,1991,The Legend of Zelda: A Link to the Past,Action-adventure,Nintendo,Super NES,33
35,1991,Lemmings,Puzzle,Psygnosis,Amiga,14
36,1991,Monkey Island 2: LeChuck's Revenge,Adventure,LucasArts,PC,13
37,1991,Sonic the Hedgehog,Platform,Sega,Sega Genesis,21
38,1991,Street Fighter II,Fighting,Capcom,Arcade,31
39,1992,Mortal Kombat,Fighting,Midway,Arcade,7
40,1992,Sonic the Hedgehog 2,Platform,Sega,Sega Genesis,10
41,1992,Super Mario Kart,Kart racing,Nintendo,Super NES,31
42,1992,Wolfenstein 3D,First-person shooter,Apogee Software,PC,10
43,1993,Day of the Tentacle,Adventure,LucasArts,PC,16
44,1993,Daytona USA,Racing,Sega,Arcade,6
45,1993,Doom,First-person shooter,id Software,PC,28
46,1993,The Legend of Zelda: Link's Awakening,Action-adventure,Nintendo,Game Boy,7
47,1993,Mortal Kombat II,Fighting,Midway,Arcade,10
48,1993,Myst,Adventure,Broderbund,Macintosh,13
49,1993,NBA Jam,Sports,Midway,Arcade,13
50,1993,Phantasy Star IV,Role-playing,Sega,Sega Genesis,8
51,1993,Sam & Max Hit the Road,Adventure,LucasArts,PC,10
52,1993,Secret of Mana,Action role-playing,Square,Super NES,19
53,1993,SimCity 2000,City-building,Maxis,Macintosh,21
54,1993,Star Fox,Shoot 'em up,Nintendo,Super NES,7
55,1993,Syndicate,Real-time tactics,Electronic Arts,"Amiga, PC",7
56,1994,Donkey Kong Country,Platform,Nintendo,Super NES,14
57,1994,EarthBound,Role-playing,Nintendo,Super NES,16
58,1994,Final Fantasy VI,Role-playing,Square,Super NES,24
59,1994,Star Wars: TIE Fighter,Space flight simulator,LucasArts,PC,17
60,1994,Super Metroid,Action-adventure,Nintendo,Super NES,35
61,1994,UFO: Enemy Unknown,Turn-based strategy,MicroProse,PC,18
62,1995,Chrono Trigger,Role-playing,Square,Super NES,31
63,1995,Warcraft II: Tides of Darkness,Real-time strategy,Blizzard Entertainment,PC,9
64,1995,Yoshi's Island,Platform,Nintendo,Super NES,20
65,1996,Civilization II,Turn-based strategy,MicroProse,PC,12
66,1996,Command & Conquer: Red Alert,Real-time strategy,Virgin Interactive,PC,10
67,1996,Duke Nukem 3D,First-person shooter,GT Interactive,PC,8
68,1996,Nights into Dreams...,Action,Sega,Sega Saturn,6
69,1996,Pokémon Red and Blue,Role-playing,Nintendo,Game Boy,17
70,1996,Quake,First-person shooter,GT Interactive,PC,11
71,1996,Resident Evil,Survival horror,Capcom,PlayStation,12
72,1996,Super Mario 64,Platform,Nintendo,Nintendo 64,35
73,1996,Tomb Raider,Action-adventure,Eidos Interactive,"Sega Saturn, PlayStation",17
74,1997,Castlevania: Symphony of the Night,Action-adventure,Konami,PlayStation,30
75,1997,Diablo,Action role-playing,Blizzard Entertainment,PC,8
76,1997,Fallout,Role-playing,Interplay Entertainment,PC,8
77,1997,Final Fantasy Tactics,Tactical role-playing,Square,PlayStation,16
78,1997,Final Fantasy VII,Role-playing,Square,PlayStation,31
79,1997,GoldenEye 007,First-person shooter,Nintendo,Nintendo 64,29
80,1997,Gran Turismo,Racing,Sony Computer Entertainment,PlayStation,8
81,1997,Star Fox 64,Shoot 'em up,Nintendo,Nintendo 64,13
82,1997,Star Wars Jedi Knight: Dark Forces II,First-person shooter,LucasArts,PC,8
83,1997,Tekken 3,Fighting,Namco,Arcade,9
84,1998,Fallout 2,Role-playing,Interplay Entertainment,PC,15
85,1998,Grim Fandango,Adventure,LucasArts,PC,25
86,1998,Half-Life,First-person shooter,Sierra Studios,PC,19
87,1998,The Legend of Zelda: Ocarina of Time,Action-adventure,Nintendo,Nintendo 64,32
88,1998,Metal Gear Solid,Stealth,Konami,PlayStation,26
89,1998,Panzer Dragoon Saga,Role-playing,Sega,Sega Saturn,9
90,1998,Resident Evil 2,Survival horror,Capcom,PlayStation,9
91,1998,SoulCalibur,Fighting,Namco,Arcade,13
92,1998,StarCraft,Real-time strategy,Blizzard Entertainment,PC,22
93,1998,Thief: The Dark Project,Stealth,Eidos Interactive,PC,8
94,1999,Age of Empires II,Real-time strategy,Microsoft Game Studios,PC,10
95,1999,EverQuest,MMORPG,Sony Online Entertainment,PC,6
96,1999,Homeworld,Real-time strategy,Sierra Studios,PC,9
97,1999,Planescape: Torment,Role-playing,Interplay Entertainment,PC,13
98,1999,Quake III: Arena,First-person shooter,Activision,PC,9
99,1999,Shenmue,Adventure,Sega,Dreamcast,13
100,1999,System Shock 2,First-person shooter,Electronic Arts,PC,13
101,1999,Unreal Tournament,First-person shooter,GT Interactive,PC,7
102,2000,Baldur's Gate II: Shadows of Amn,Role-playing,Black Isle Studios,PC,12
103,2000,Counter-Strike,First-person shooter,Valve,PC,23
104,2000,Deus Ex,Action role-playing,Eidos Interactive,PC,22
105,2000,Diablo II,Action role-playing,Blizzard Entertainment,PC,25
106,2000,Jet Set Radio,Platform,Sega,Dreamcast,8
107,2000,The Legend of Zelda: Majora's Mask,Action-adventure,Nintendo,Nintendo 64,11
108,2000,The Sims,Life simulation,Electronic Arts,PC,15
109,2000,Thief II: The Metal Age,Stealth,Eidos Interactive,PC,12
110,2000,Tony Hawk's Pro Skater 2,Sports,Activision,PlayStation,11
111,2001,Advance Wars,Turn-based tactics,Nintendo,Game Boy Advance,16
112,2001,Animal Crossing,Life simulation,Nintendo,GameCube,7
113,2001,Final Fantasy X,Role-playing,Square,PlayStation 2,12
114,2001,Gran Turismo 3: A-Spec,Racing,Sony Computer Entertainment,PlayStation 2,14
115,2001,Grand Theft Auto III,Action-adventure,Rockstar Games,PlayStation 2,14
116,2001,Halo: Combat Evolved,First-person shooter,Microsoft Game Studios,Xbox,22
117,2001,Ico,Action-adventure,Sony Computer Entertainment,PlayStation 2,23
118,2001,Ikaruga,Shoot 'em up,Sega,Arcade,8
119,2001,Max Payne,Third-person shooter,Gathering of Developers,PC,9
120,2001,Metal Gear Solid 2: Sons of Liberty,Stealth,Konami,PlayStation 2,10
121,2001,Rez,Shoot 'em up,Sega,"Dreamcast, PlayStation 2",10
122,2001,Silent Hill 2,Survival horror,Konami,PlayStation 2,26
123,2001,Super Smash Bros. Melee,Fighting,Nintendo,GameCube,18
124,2002,Grand Theft Auto: Vice City,Action-adventure,Rockstar Games,PlayStation 2,12
125,2002,Kingdom Hearts,Action role-playing,Squaresoft,PlayStation 2,6
126,2002,The Legend of Zelda: The Wind Waker,Action-adventure,Nintendo,GameCube,18
127,2002,Metroid Prime,Action-adventure,Nintendo,GameCube,27
128,2002,Soulcalibur II,Fighting,Namco,Arcade,7
129,2003,Beyond Good & Evil,Action-adventure,Ubisoft,PlayStation 2,10
130,2003,Prince of Persia: The Sands of Time,Action-adventure,Ubisoft,PlayStation 2,19
131,2003,Star Wars: Knights of the Old Republic,Role-playing,LucasArts,Xbox,16
132,2003,"WarioWare, Inc.: Mega Microgames!",Action,Nintendo,Game Boy Advance,7
133,2004,Burnout 3: Takedown,Racing,Electronic Arts,"PlayStation 2, Xbox",13
134,2004,Grand Theft Auto: San Andreas,Action-adventure,Rockstar Games,PlayStation 2,15
135,2004,Half-Life 2,First-person shooter,Valve,PC,31
136,2004,Katamari Damacy,Action,Namco,PlayStation 2,11
137,2004,Metal Gear Solid 3: Snake Eater,Stealth,Konami,PlayStation 2,20
138,2004,Rome: Total War,Strategy,Activision,PC,8
139,2004,World of Warcraft,MMORPG,Blizzard Entertainment,PC,24
140,2005,Civilization IV,Turn-based strategy,2K Games,PC,12
141,2005,Devil May Cry 3: Dante's Awakening,Action-adventure,Capcom,PlayStation 2,7
142,2005,God of War,Action-adventure,Sony Computer Entertainment,PlayStation 2,13
143,2005,Guitar Hero,Rhythm,RedOctane,PlayStation 2,9
144,2005,Psychonauts,Platform,Majesco,PC,11
145,2005,Resident Evil 4,Survival horror,Capcom,GameCube,35
146,2005,Shadow of the Colossus,Action-adventure,Sony Computer Entertainment,PlayStation 2,28
147,2005,Tom Clancy's Splinter Cell: Chaos Theory,Stealth,Ubisoft,"GameCube, PC, PlayStation 2, Xbox",7
148,2006,The Elder Scrolls IV: Oblivion,Role-playing,Bethesda Softworks,"PC, Xbox 360",11
149,2006,Gears of War,Third-person shooter,Microsoft Game Studios,Xbox 360,7
150,2006,Hitman: Blood Money,Stealth,Eidos Interactive,"PC, PlayStation 2, Xbox, Xbox 360",6
151,2006,Ōkami,Action-adventure,Capcom,PlayStation 2,20
152,2006,Wii Sports,Sports,Nintendo,Wii,8
153,2007,BioShock,First-person shooter,2K Games,"PC, Xbox 360",27
154,2007,Call of Duty 4: Modern Warfare,First-person shooter,Activision,"PC, PlayStation 3, Xbox 360",21
155,2007,God of War II,Action-adventure,Sony Computer Entertainment,PlayStation 2,7
156,2007,Halo 3,First-person shooter,Microsoft Game Studios,Xbox 360,11
157,2007,Portal,Puzzle-platformer,Valve,"PC, Xbox 360",21
158,2007,Super Mario Galaxy,Platform,Nintendo,Wii,10
159,2007,Team Fortress 2,First-person shooter,Valve,PC,13
160,2008,Braid,Puzzle-platformer,Microsoft Game Studios,Xbox 360,19
161,2008,Dead Space,Survival horror,Electronic Arts,"PlayStation 3, Xbox 360",10
162,2008,Fallout 3,Action role-playing,Bethesda Softworks,"PC, PlayStation 3, Xbox 360",14
163,2008,Grand Theft Auto IV,Action-adventure,Rockstar Games,"PlayStation 3, Xbox 360",11
164,2008,Left 4 Dead,First-person shooter,Valve,PC,7
165,2008,Persona 4,Role-playing,Atlus,PlayStation 2,13
166,2008,Spelunky,Platform,Derek Yu,PC,11
167,2008,Street Fighter IV,Fighting,Capcom,Arcade,11
168,2009,Assassin's Creed II,Action-adventure,Ubisoft,"PlayStation 3, Xbox 360",10
169,2009,Batman: Arkham Asylum,Action-adventure,Warner Bros. Interactive Entertainment,"PlayStation 3, Xbox 360",11
170,2009,Left 4 Dead 2,First-person shooter,Valve,"PC, Xbox 360",13
171,2009,Uncharted 2: Among Thieves,Action-adventure,Sony Computer Entertainment,PlayStation 3,21
172,2010,Limbo,Platform,Microsoft Game Studios,Xbox 360,11
173,2010,Mass Effect 2,Action role-playing,Electronic Arts,"PC, Xbox 360",21
174,2010,Red Dead Redemption,Action-adventure,Rockstar Games,"PlayStation 3, Xbox 360",23
175,2010,Rock Band 3,Rhythm,MTV Games,"PlayStation 3, Xbox 360, Wii, Nintendo DS",9
176,2010,StarCraft II: Wings of Liberty,Real-time strategy,Blizzard Entertainment,PC,11
177,2010,Super Mario Galaxy 2,Platform,Nintendo,Wii,14
178,2010,Super Meat Boy,Platform,Team Meat,Xbox 360,10
179,2011,Batman: Arkham City,Action-adventure,Warner Bros. Interactive Entertainment,"PlayStation 3, Xbox 360",15
180,2011,Dark Souls,Action role-playing,Namco Bandai Games,"PlayStation 3, Xbox 360",16
181,2011,The Elder Scrolls V: Skyrim,Action role-playing,Bethesda Softworks,"PC, PlayStation 3, Xbox 360",14
182,2011,Minecraft,Sandbox,Mojang,PC,21
183,2011,Portal 2,Puzzle-platformer,Valve,"PC, PlayStation 3, Xbox 360",19
184,2012,Dishonored,Stealth,Bethesda Softworks,"PC, PlayStation 3, Xbox 360",11
185,2012,Journey,Adventure,Sony Computer Entertainment,PlayStation 3,17
186,2012,The Walking Dead,Adventure,Telltale Games,"PC, PlayStation 3, Xbox 360",10
187,2013,Dota 2,MOBA,Valve,PC,9
188,2013,Grand Theft Auto V,Action-adventure,Rockstar Games,"PlayStation 3, Xbox 360",15
189,2013,The Last of Us,Action-adventure,Sony Computer Entertainment,PlayStation 3,16
190,2015,Bloodborne,Action role-playing,Sony Computer Entertainment,PlayStation 4,11
191,2015,The Witcher 3: Wild Hunt,Action role-playing,CD Projekt,"PC, PlayStation 4, Xbox One",13
192,2016,Inside,Platform,Playdead,Xbox One,7
193,2016,Overwatch,First-person shooter,Blizzard Entertainment,"PC, PlayStation 4, Xbox One",7
194,2017,The Legend of Zelda: Breath of the Wild,Action-adventure,Nintendo,"Nintendo Switch, Wii U",9
